symbol,strategy,date,year,passed,reject,rank,risk_pct,avg_turnover_20,turnover_drift,cb_purity,cb_count,cluster_fraction,single_tower,ema_sep,contained,upper_half,base_ret,base_bars,base_exit,base_risk,base_r,auth_ret,auth_bars,auth_exit,auth_risk,auth_r
BALRAMCHIN,S3,2025-08-20,2025,False,liquidity,0.687413141330868,0.08417387580299798,15.549290263500001,-0.19273445381926202,0.0,0,0.45454545454545453,False,0.009089198310094155,False,False,-7.000000000000013,5,stop,7.000000000000013,-1.0,-4.414029084687759,3,ema10,8.534901625320797,-0.5171739849458254
BALRAMCHIN,S3,2025-08-21,2025,False,liquidity,0.7027413846222428,0.08534901625320798,15.132377976250002,-0.18606135024732928,0.0,0,0.45454545454545453,False,0.005612789712105353,False,False,-7.0000000000000115,3,stop,7.0000000000000115,-1.0,-4.471231939813623,2,ema10,8.589638368812532,-0.5205378559413958
BALRAMCHIN,S3,2025-08-22,2025,False,liquidity,0.7226575438826893,0.08589638368812531,14.7464100885,-0.2308032649344981,0.0,0,0.45454545454545453,False,0.002897207495800782,False,False,-6.999999999999999,2,stop,6.999999999999999,-1.0,-5.345192714951284,1,ema10,9.425921219822122,-0.5670737735119915
BALRAMCHIN,S3,2025-08-26,2025,False,liquidity,1.127550149458184,0.043111687846787386,14.97367068375,-0.23369778607976266,0.0,0,0.45454545454545453,False,0.002716076012971592,False,False,-7.0000000000000036,16,stop,7.0000000000000036,-1.0,-2.788708064369509,1,stop,2.788708064369509,-1.0
BALRAMCHIN,S3,2025-09-02,2025,False,liquidity,1.20447202534904,0.0644173943724089,29.265536013250006,0.550049454391321,0.0,0,0.45454545454545453,False,0.010154045589014699,False,False,-6.999999999999999,4,stop,6.999999999999999,-1.0,-0.9918684657313832,1,ema10,5.221159860602255,-0.18997090535683622
BALRAMCHIN,S3,2025-09-03,2025,False,liquidity,1.3895812462293426,0.052211598606022556,30.122661718250004,0.6876985674566496,0.0,0,0.45454545454545453,False,0.009434092026468924,False,False,-7.000000000000016,5,stop,7.000000000000016,-1.0,-0.8212996389891614,1,ema10,4.271660649819488,-0.19226706106063646
BALRAMCHIN,S3,2025-09-04,2025,False,liquidity,1.438521236769841,0.04271660649819488,30.520265526000003,0.7653348136090701,0.0,0,0.45454545454545453,False,0.009593631816405898,False,False,-7.000000000000011,10,stop,7.000000000000011,-1.0,-2.420602420602433,1,ema10,3.4789334789334805,-0.6957886476589099
BALRAMCHIN,S3,2026-04-02,2026,False,separation,1.7053893332901995,0.056137733728415365,69.2033789685,3.1019303586574614,0.8333333333333334,5,0.6363636363636364,False,0.009931206424658532,True,False,21.000000000000018,66,target,7.000000000000002,3.0000000000000018,-0.4120313143798929,1,ema10,4.845694272764733,-0.0850303983674163
BALRAMCHIN,S3,2026-04-06,2026,False,separation,1.7488319516110882,0.048456942727647334,53.83531734,0.6284323168917321,0.8333333333333334,5,0.6363636363636364,False,0.008144057532803598,True,False,21.000000000000004,65,target,7.000000000000004,2.9999999999999982,-0.6206040546131568,1,ema10,4.4520066197765855,-0.13939872682496157
BALRAMCHIN,S3,2026-04-07,2026,False,separation,1.7134674882482965,0.044520066197765856,49.884188327,0.329926895258976,0.8333333333333334,5,0.6363636363636364,False,0.006289432776744291,True,False,21.00000000000003,64,target,7.000000000000009,3.0,-0.5620316402997478,1,ema10,3.855328892589512,-0.14578046541763331
BALRAMCHIN,S3,2026-04-15,2026,False,event,1.5632405600297214,0.05081899660039151,41.41331000699999,-0.10199807564703312,0.8333333333333334,5,0.6363636363636364,False,0.0007181856919497404,True,False,21.000000000000018,59,target,7.000000000000002,3.0000000000000018,5.157622739018086,8,ema10,4.767958656330749,1.0817255582050722
BALRAMCHIN,S3,2026-04-16,2026,False,event,1.6183136930115845,0.04767958656330749,41.04506817825,-0.12357365981361312,0.8333333333333334,5,0.6363636363636364,False,0.0004140035440849591,True,False,21.000000000000036,58,target,7.000000000000008,3.0000000000000018,4.670781893004112,7,ema10,5.208847736625514,0.8967015603397192
BALRAMCHIN,S3,2026-04-17,2026,False,event,1.5541420864509194,0.05208847736625514,40.17466867625,-0.15462907436991657,0.8333333333333334,5,0.6363636363636364,False,0.00022176417102224682,True,False,21.000000000000025,63,target,7.000000000000009,3.0,-1.357378320729117,6,ema10,10.668024044987403,-0.12723802599291195
BALRAMCHIN,S3,2026-05-26,2026,False,separation,1.4402138351260776,0.006972529028603764,48.03601953175,-0.05892783603579543,0.14285714285714285,1,0.18181818181818182,False,0.009179768451653844,True,True,21.000000000000014,37,target,7.000000000000006,3.0,-0.8002640513014055,0,stop,0.8002640513014055,-1.0
BALRAMCHIN,S3,2026-05-27,2026,False,separation,1.447398983939956,0.008002640513014055,47.40995341925,-0.018130316993348994,0.14285714285714285,1,0.18181818181818182,False,0.00762191138021632,True,True,20.99999999999999,36,target,7.000000000000001,2.9999999999999982,3.2634032634032772,15,ema10,7.000000000000001,0.46620046620046807
BALRAMCHIN,S3,2026-05-29,2026,False,separation,1.2580465451976406,0.013987470862470807,46.78508619625,-0.01823418602088489,0.14285714285714285,1,0.18181818181818182,False,0.003943528567872727,True,True,21.000000000000043,44,target,7.000000000000011,3.0000000000000013,-0.2439482079189256,14,ema10,4.74774817038844,-0.05138187603134116
BALRAMCHIN,S3,2026-06-01,2026,False,liquidity,1.074713840205621,0.0474774817038844,39.99048077725,-0.23996951015726198,0.14285714285714285,1,0.18181818181818182,False,0.003890796401334782,True,True,21.00000000000003,43,target,7.000000000000011,3.0,-1.0792705619650083,13,ema10,5.545357275772235,-0.19462597417850072
BALRAMCHIN,S3,2026-06-03,2026,False,liquidity,1.1343808180346322,0.04217520520803861,39.18247188725,-0.2762294062586701,0.14285714285714285,1,0.18181818181818182,False,0.0038816771751285953,True,True,21.00000000000001,41,target,7.0000000000000036,3.0,-0.11273957158963223,11,ema10,4.622463359639244,-0.024389500320113056
BALRAMCHIN,S3,2026-06-04,2026,False,separation,1.1066793318475845,0.04622463359639244,40.8490991285,-0.242638732995634,0.14285714285714285,1,0.18181818181818182,False,0.003605138933083474,True,True,21.00000000000002,40,target,7.0000000000000115,2.9999999999999987,-0.03760812335463178,10,ema10,4.550723956374572,-0.008264206687806454
BALRAMCHIN,S3,2026-06-05,2026,False,separation,1.119438888629566,0.04550723956374572,41.317840216499995,-0.23606439163924953,0.14285714285714285,1,0.18181818181818182,False,0.0032875479027559603,True,True,21.000000000000014,50,target,7.0000000000000036,3.0,-3.4156976744185967,9,ema10,7.776299055232558,-0.43924463940468234
