date,equity,positions,cash
2025-05-06,980720.4544723661,0,980720.4544723661
2025-05-07,980720.4544723661,0,980720.4544723661
2025-05-08,980720.4544723661,0,980720.4544723661
2025-05-09,980720.4544723661,0,980720.4544723661
2025-05-12,980720.4544723661,0,980720.4544723661
2025-05-13,980720.4544723661,0,980720.4544723661
2025-05-14,1000441.9845061323,1,684782.3145061324
2025-05-15,998863.4549361244,1,779398.1549361243
2025-05-16,997187.6849361244,1,779398.1549361243
2025-05-19,993513.1049361243,1,779398.1549361243
2025-05-20,987592.3951323096,1,707112.3951323096
2025-05-21,991682.3951323096,1,707112.3951323096
2025-05-22,991802.3951323096,1,707112.3951323096
2025-05-23,994452.3951323096,1,707112.3951323096
2025-05-26,986268.6480518212,1,809060.3280518211
2025-05-27,986179.4151138011,2,526685.4151138011
2025-05-28,994526.5043342898,4,8010.694334289699
2025-05-29,998150.0973850277,5,4936.877385027615
2025-05-30,1017026.8393582216,6,4467.589358221638
2025-06-02,1024936.0902994941,6,41845.34029949416
2025-06-03,1013179.9211882941,6,49630.92118829407
2025-06-04,1018295.7362744942,8,5534.256274494074
2025-06-05,1021478.5226749082,8,11764.682674908074
2025-06-06,1005771.9357319935,6,214646.33573199337
2025-06-09,1005563.4853497641,5,248592.63534976417
2025-06-10,1011476.7549437291,5,103114.89494372919
2025-06-11,989680.0664901168,3,240462.6064901168
2025-06-12,978704.0115706117,1,843588.7515706117
2025-06-13,977090.8261051297,0,977090.8261051297
2025-06-16,971556.6554916922,0,971556.6554916922
2025-06-17,971556.6554916922,0,971556.6554916922
2025-06-18,971556.6554916922,0,971556.6554916922
2025-06-19,971556.6554916922,0,971556.6554916922
2025-06-20,971556.6554916922,0,971556.6554916922
2025-06-23,966052.7923380397,0,966052.7923380397
2025-06-24,966052.7923380397,0,966052.7923380397
2025-06-25,966052.7923380397,0,966052.7923380397
2025-06-26,966052.7923380397,0,966052.7923380397
2025-06-27,966052.7923380397,0,966052.7923380397
2025-06-30,963976.4576918947,1,739494.8576918948
2025-07-01,957624.9976370898,1,734138.9976370898
2025-07-02,955242.3017915348,0,955242.3017915348
2025-07-03,955242.3017915348,0,955242.3017915348
2025-07-04,955242.3017915348,0,955242.3017915348
2025-07-07,949767.8705037697,0,949767.8705037697
2025-07-08,949767.8705037697,0,949767.8705037697
2025-07-09,949767.8705037697,0,949767.8705037697
2025-07-10,949767.8705037697,0,949767.8705037697
