symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
GODREJIND,2026-05-15,2026-05-18,2026-05-21,1155.47745,1098.5,1110.894275,52,4.931074163325307,2962.8274000000047,-2453.8541291549946,-0.8282136614353541,-4.083982987616928,3,ema9_close,5.1340292274851285,-4.325263985030617,1,ema9,73.19587628865979,5.404749237557754,0
POWERINDIA,2026-05-15,2026-05-18,2026-05-27,32711.3475,31195.0,37241.759805,1,4.6355397007108925,1516.3474999999999,4449.966231599252,2.9346612380072856,13.603738676920146,7,partials_exhausted,15.23524061489671,-2.1593347690736366,2,"ema9,ema21",98.35051546391752,3.537622565369923,1
ANTHEM,2026-05-18,2026-05-19,2026-05-20,800.1999,766.3,765.91685,87,4.236428922323035,2949.2913000000003,-3139.315330837502,-1.0644304042932287,-4.509383750547835,1,stop,2.4306551400468805,-4.373894573093537,4,"ema9,ema21,avwap,swing_high",86.18556701030928,3.265266947861638,0
VTL,2026-05-19,2026-05-20,2026-05-25,615.8077499999999,590.3,601.0993,118,4.142161250812448,3009.9144999999985,-1900.731386684999,-0.6314901591673119,-2.6157340675722245,3,ema9_close,1.7850132610380456,-3.898578736626817,3,"ema9,ema21,avwap",93.6082474226804,4.004298124560227,0
APARINDS,2026-05-19,2026-05-20,2026-05-25,12399.1965,11864.0,12473.76,5,4.31638050094617,2675.9825,229.79800012500465,0.0858742537086863,0.3706659542414779,3,ema9_close,6.047194267789848,-2.0823647725882886,2,"ema21,avwap",94.22680412371133,4.176294319471968,0
WELCORP,2026-05-20,2026-05-21,2026-05-22,1335.6675,1272.5,1271.86375,47,4.7292832984256945,2968.872500000001,-3139.7133140624956,-1.0575440050263172,-5.00142520032118,1,stop,1.6495497569567297,-6.249122629696387,2,"ema9,avwap",99.58762886597938,3.879714697701462,0
THERMAX,2026-05-21,2026-05-22,2026-05-22,4623.21045,4449.7,4447.47515,17,3.753029455970359,2949.677649999996,-3164.8320034799904,-1.07294164956635,-4.026781615359938,0,stop_same_day,0.27663785021943826,-4.360832200489581,2,"ema9,avwap",98.96907216494846,4.222368991968986,0
J&KBANK,2026-05-21,2026-05-22,2026-06-24,141.36064499999998,135.6,159.33418005650003,520,4.075140573955349,2995.5353999999907,9166.42272399623,3.0600281752625116,12.47004497445881,22,ema9_close,18.243659683358146,-1.7336119257237215,2,"avwap,gap_base",95.4639175257732,4.159514603574759,1
LLOYDSME,2026-05-21,2026-05-22,2026-06-03,1721.8605,1651.0,1791.9036000000003,42,4.115345000364432,2976.141,2772.095393970007,0.9314395366247792,3.8331950401905472,7,ema9_close,9.6836822727509,-0.8049722959554506,2,"ema9,ema21",97.52577319587628,3.3731920732746836,0
RAINBOW,2026-05-22,2026-05-25,2026-05-25,1365.6825,1322.0,1321.3390000000002,67,3.1985838582540156,2926.7274999999927,-3178.0495065749756,-1.0858713380644367,-3.473250534073596,0,stop_same_day,0.821384179705034,-3.5280894351359042,3,"ema9,avwap,swing_high",77.31958762886599,2.7295670478314094,0
