date,equity,positions,cash
2025-12-18,631612.1644236351,1,524125.1644236351
2025-12-19,632604.4144236351,1,524125.1644236351
2025-12-22,633185.6522404196,1,540598.0522404197
2025-12-23,631912.8522404197,1,540598.0522404197
2025-12-24,630491.5347145697,0,630491.5347145697
2025-12-26,619939.8265962851,2,462261.10659628507
2025-12-29,617494.4833042391,1,546601.6833042391
2025-12-30,618414.0833042391,1,546601.6833042391
2025-12-31,618915.6833042391,1,546601.6833042391
2026-01-01,621888.8869599653,5,169507.6369599653
2026-01-02,624044.1478221192,8,2327.1978221190657
2026-01-05,625467.8478221191,8,2327.1978221190657
2026-01-06,619045.5576816511,8,89.7876816511199
2026-01-07,616340.8814988796,8,404.5814988796774
2026-01-08,608224.3276079473,6,47319.77760794721
2026-01-09,606283.4051860436,4,231789.95518604352
2026-01-12,604429.2051860435,4,231789.95518604352
2026-01-13,603763.4615859711,3,301422.611585971
2026-01-14,599340.0679764948,1,551032.8679764948
2026-01-16,599844.9679764948,1,551032.8679764948
2026-01-19,598886.1679764949,1,551032.8679764948
2026-01-20,597814.3779003049,0,597814.3779003049
2026-01-21,597814.3779003049,0,597814.3779003049
2026-01-22,597814.3779003049,0,597814.3779003049
2026-01-23,597814.3779003049,0,597814.3779003049
2026-01-27,597814.3779003049,0,597814.3779003049
2026-01-28,597814.3779003049,0,597814.3779003049
2026-01-29,597814.3779003049,0,597814.3779003049
2026-01-30,597814.3779003049,0,597814.3779003049
2026-02-01,597814.3779003049,0,597814.3779003049
2026-02-02,597814.3779003049,0,597814.3779003049
2026-02-03,597814.3779003049,0,597814.3779003049
2026-02-04,597814.3779003049,0,597814.3779003049
2026-02-05,597814.3779003049,0,597814.3779003049
2026-02-06,597814.3779003049,0,597814.3779003049
2026-02-09,597814.3779003049,0,597814.3779003049
2026-02-10,600254.729861792,4,161630.3698617919
2026-02-11,599633.3246670499,5,21227.984667049914
2026-02-12,599007.9335666123,8,15644.473566612416
2026-02-13,586638.350365517,5,148481.27036551698
2026-02-16,586936.9149846421,4,322748.354984642
2026-02-17,585745.0349846419,4,322748.354984642
2026-02-18,589957.3061780545,7,3297.4461780545244
